id,authority
127400,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127407,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53312,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61190,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
59866,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61601,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58957,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127437,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127440,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127443,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127447,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127449,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
59096,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55205,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57879,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56570,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127450,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127452,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127463,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61397,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127483,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55301,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55691,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
59180,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66407,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66432,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55334,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
65546,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
60969,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61248,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
59935,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
65102,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58800,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61878,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61178,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
63572,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
63625,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66612,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
74686,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127580,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127607,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127621,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127661,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127669,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127850,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127861,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
116526,Hays County CAD roll (cad_property) for county_fips 48209 at declared tax_year 2026
127923,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127928,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127936,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12806,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12808,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12816,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128164,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128337,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128919,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128933,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128946,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128967,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128983,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110522,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110539,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110557,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110573,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
